
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      5,376 K
Secure System                  140 Services                   0     40,672 K
Registry                       184 Services                   0     28,332 K
smss.exe                       704 Services                   0        124 K
csrss.exe                      660 Services                   0      3,640 K
wininit.exe                   1040 Services                   0      2,020 K
csrss.exe                     1048 Console                    1      4,052 K
winlogon.exe                  1132 Console                    1      4,108 K
services.exe                  1184 Services                   0      9,360 K
LsaIso.exe                    1192 Services                   0      1,728 K
lsass.exe                     1212 Services                   0     19,164 K
svchost.exe                   1344 Services                   0     26,788 K
fontdrvhost.exe               1376 Console                    1      2,244 K
fontdrvhost.exe               1384 Services                   0      1,012 K
WUDFHost.exe                  1460 Services                   0      8,264 K
svchost.exe                   1520 Services                   0     14,440 K
svchost.exe                   1564 Services                   0      4,724 K
WUDFHost.exe                  1668 Services                   0      2,652 K
svchost.exe                   1744 Services                   0      1,812 K
svchost.exe                   1788 Services                   0      7,736 K
svchost.exe                   1796 Services                   0      4,472 K
svchost.exe                   1836 Services                   0      8,244 K
svchost.exe                   1872 Services                   0      9,732 K
dwm.exe                       1952 Console                    1     74,464 K
svchost.exe                   2020 Services                   0      6,536 K
svchost.exe                   1228 Services                   0      5,264 K
svchost.exe                   1180 Services                   0     15,728 K
svchost.exe                   1536 Services                   0      7,644 K
svchost.exe                   1988 Services                   0      5,204 K
svchost.exe                   2012 Services                   0      8,748 K
svchost.exe                   2268 Services                   0      2,904 K
IntelCpHDCPSvc.exe            2276 Services                   0      1,728 K
svchost.exe                   2288 Services                   0      2,860 K
svchost.exe                   2304 Services                   0     14,128 K
svchost.exe                   2340 Services                   0      1,912 K
svchost.exe                   2352 Services                   0      5,712 K
svchost.exe                   2384 Services                   0      5,312 K
svchost.exe                   2416 Services                   0      5,144 K
svchost.exe                   2764 Services                   0      6,572 K
svchost.exe                   2780 Services                   0     10,336 K
svchost.exe                   2872 Services                   0      7,560 K
svchost.exe                   3024 Services                   0      6,176 K
igfxCUIServiceN.exe           3056 Services                   0      4,564 K
svchost.exe                   2928 Services                   0      3,928 K
svchost.exe                   3128 Services                   0      3,020 K
svchost.exe                   3192 Services                   0     11,112 K
svchost.exe                   3316 Services                   0     12,832 K
svchost.exe                   3396 Services                   0     17,240 K
svchost.exe                   3412 Services                   0      2,212 K
svchost.exe                   3512 Services                   0      4,008 K
svchost.exe                   3508 Services                   0      3,776 K
Memory Compression            3544 Services                   0     84,744 K
svchost.exe                   3700 Services                   0     12,180 K
svchost.exe                   3748 Services                   0      5,236 K
svchost.exe                   3860 Services                   0     22,812 K
svchost.exe                   3920 Services                   0      3,796 K
svchost.exe                   3988 Services                   0     17,280 K
svchost.exe                   4060 Services                   0      7,832 K
spoolsv.exe                   3632 Services                   0     13,920 K
svchost.exe                   4112 Services                   0     21,920 K
svchost.exe                   4140 Services                   0      4,272 K
svchost.exe                   4244 Services                   0      3,928 K
svchost.exe                   4272 Services                   0     14,992 K
svchost.exe                   4368 Services                   0      4,492 K
armsvc.exe                    4380 Services                   0      2,144 K
svchost.exe                   4388 Services                   0     47,296 K
svchost.exe                   4400 Services                   0     31,568 K
OfficeClickToRun.exe          4408 Services                   0     50,496 K
esif_uf.exe                   4472 Services                   0      1,644 K
IntelAudioService.exe         4524 Services                   0      7,828 K
UserAwarenessService.exe      4548 Services                   0     13,624 K
jhi_service.exe               4612 Services                   0      1,784 K
svchost.exe                   4632 Services                   0      8,328 K
MSIService.exe                4668 Services                   0      2,544 K
Sendevsvc.exe                 4712 Services                   0     32,888 K
MpDefenderCoreService.exe     4732 Services                   0     21,676 K
MSI_Central_Service.exe       4748 Services                   0      6,304 K
svchost.exe                   4760 Services                   0      6,808 K
Mystic_Light_Service.exe      4772 Services                   0      6,140 K
MSIAPService.exe              4780 Services                   0     10,948 K
LMS.exe                       4800 Services                   0      4,000 K
rorchcdk.exe                  5024 Services                   0      5,576 K
RtkAudUService64.exe          5044 Services                   0      5,872 K
svchost.exe                   5092 Services                   0      1,800 K
svchost.exe                   4364 Services                   0     25,052 K
